48,Mubende Hub,cphlmubende@hpeprint.com,,,,1,3
49,Nakasongola Hub,cphl-nakasongora@hpeprint.com,,,,1,3
50,Nebbi Hub,cphl-nebbi@hpeprint.com,,,,1,1
51,Ngoma Hub,cphl-ngoma@hpeprint.com,,,,1,3
52,Nsiika Hub,cphl-nsiika@hpeprint.com,,,,1,13
53,Nwoya Hub,cphl-nwoya@hpeprint.com,,,,1,0
54,Nyakibale Hub,cphl-nyakibale@hpeprint.com,,,,1,13
55,Rakai Hub,cphl-rakai@hpeprint.com,,,,1,8
56,Rugazi Hub,cphl-rugazi@hpeprint.com,,,,1,13
57,Ruhoko Hub,cphl-ruhoko@hpeprint.com,,,,1,13
58,Rushere Hub,cphl-rushere@hpeprint.com,,,,1,13
59,Rwekubo Hub,cphl-rwekubo@hpeprint.com,,,,1,13
60,Serere Hub,cphl-serere@hpeprint.com,,,,1,1
61,Soroti Hub,cphl-soroti@hpeprint.com,,,,1,12
62,Sembabule Hub,cphl-ssembabule@hpeprint.com,,,,1,3
64,Tokora Hub,cphl-tokora@hpeprint.com,,,,1,16
65,Tororo Hub,cphl-tororo@hpeprint.com,,,,1,10
66,Yumbe Hub,cphl-yumbe@hpeprint.com,,,,1,1
67,Kamuli Hub,cpul-kamuli@hpeprint.com,,,,1,2
68,Kapchorwa Hub,cphl-kapchorwa@hpeprint.com,,,,1,9
69,Kampala Hub,cphl-kampala@hpeprint.com,,,,1,4
70,Kitgum Hub,cphl-kitgum@hpeprint.com,,,,1,7
71,Dokolo Hub,cphl-dokolo@hpeprint.com,,,,1,7
72,Amolatar Hub,cphl-amolator@hpeprint.com,,,,1,7
73,Anaka Hub,cphl-anaka@hpeprint.com,,,,1,7
74,Bumanya Hub,cphl-bumanya@hpeprint.com,,,,1,27
75,Madi-Opei Hub,cphl-madiopei@hpeprint.com,,,,1,7
76,Masafu Hub,cphl-masafu@hpeprint.com,,,,1,9
79,Pallisa Hub,cphl-palisa@hpeprint.com,,,,1,9
80,Amuria Hub,,,,,1,0
81,Moroto Hub,,,,,1,16
82,Bundibugyo Hub,,,,,1,1
83,Kyenjojo Hub,,,,,1,1
84,Bugiri Hub,,,,,1,2
85,Atiak Hub,,,,,1,7
87,Kiboga Hub,,,,,1,17
89,Kalongo Hub,,,,,1,0
90,Kakindo Hub,,,,,1,5
91,Self Pick,,,,,1,0
92,Katakwi Hub,,,,,1,0
93,None Hub,,,,,1,0
95,Facility Left Blank,,,,,1,28
96,Agago Hub,,,,,1,7
97,No Hub,,,,,1,3
99,Buvuma Hub,,,,,1,15
101,Kilembe Mines Hub,,,,,1,4
103,Kalangala Hub,,,,,1,27
104,Kyegegwa Hub,,,,,1,0
105,Butenga Hub,,,,,1,0
106,Rukunyu Hub,,,,,1,0
107,Kaberamaido Hub,,,,,1,0
108,Kamwenge,,,,,1,0
109,Apac Hub,,,,,1,0
110,Warr Hub,,,,,1,0
111,Lalogi Hub,,,,,1,0
112,Ngora Hub,,,,,1,0
113,Busolwe Hub,,,,,1,0
114,Matany Hub,,,,,1,0
115,Budadiri Hub,,,,,1,0
116,Alebtong Hub,,,,,1,0
117,Namokora Hub,,,,,1,0
118,Pajule Hub,,,,,1,0
119,Koboko Hub,,,,,1,0
120,Ntwetwe Hub,,,,,1,0
