Facility, District,Hub
"Opia H/C III","Arua","Arua Hub"
"St Jude ULEPPI H/C III","Arua","Arua Hub"
"Ewanga H/C III","Arua","Rhino Camp Hub"
"Ofua MSF H/C III","Arua","Rhino Camp Hub"
"Oluko Solidale H/C III","Arua","Arua Hub"
"Tuku H/C II","Arua","Rhino Camp Hub"
"Uriama H/C III","Arua","Arua Hub"
"Ajia H/C III","Arua","Arua Hub"
"Bondo Military H/C III","Arua","Arua Hub"
"Zone 3 H/C III","Arua","Arua Hub"
"OJE Mission H/C III","Arua","Arua Hub"
"Arua Prison H/C III","Arua","Arua Hub"
"Aids Information Center(Arua)","Arua","Arua Hub"
"Oyima H/C III","Arua","Arua Hub"
"Crane Survey Arua","Arua","Arua Hub"
"Budaka H/C IV","Budaka","Mbale Hub"
"Iki  Iki H/C III","Budaka","Mbale Hub"
"Kaderuna H/C III","Budaka","Mbale Hub"
"Kameruka H/C III","Budaka","Mbale Hub"
"Kamonkoli H/C III","Budaka","Mbale Hub"
"Katira H/C III","Budaka","Mbale Hub"
"Kerekerene H/C III","Budaka","Mbale Hub"
"Lyama H/C III","Budaka","Mbale Hub"
"Sapiri H/C III","Budaka","Mbale Hub"
"Naboa H/C III","Budaka","Mbale Hub"
"Namengo H/C III","Budaka","Mbale Hub"
"Marah H/C III","Budaka","Mbale Hub"
"Siita H/C III","Budaka","Mbale Hub"
"Mugiti H/C III","Budaka","Mbale Hub"
"Butove H/C II","Budaka","Mbale Hub"
"Nansanga H/C III","Budaka","Mbale Hub"
"Namusita H/C III","Budaka","Mbale Hub"
"Bushika H/C III","Bududa","Bududa"
"Bukibokolo H/C III","Bududa","Bududa"
"Bufuma H/C III","Bududa","Bududa"
"Bulucheke H/C III","Bududa","Bududa"
"Bukigai H/C III","Bududa","Bududa"
"Bukalasi H/C III","Bududa","Bududa"
"Bududa Hospital","Bududa","Bududa"
"Bushiyi H/C III","Bududa","Bududa"
"Beatrice Tierney H/C II","Bududa","Bududa"
"Namaitsu H/C II","Bududa","Bududa"
"FIMRC H/C III","Bududa","Bududa"
"Bubungi H/C III","Bududa","Bududa"
"Bugiri Hospital","Bugiri","Bugiri Hub"
"Nankoma H/C IV","Bugiri","Bugiri Hub"
"Buluguyi H/C III","Bugiri","Bugiri Hub"
"Muterere H/C III","Bugiri","Bugiri Hub"
"Mayuge H/C III (Bugiri)","Bugiri","Bugiri Hub"
"Bulidha H/C III","Bugiri","Bugiri Hub"
"Nabukalu H/C III","Bugiri","Bugiri Hub"
"Bulesa H/C III","Bugiri","Bugiri Hub"
"Iwemba H/C III","Bugiri","Bugiri Hub"
"Kigulu H/C II","Bugiri","Bugiri Hub"
"Kayango H/C III","Bugiri","Bugiri Hub"
"Buwunga H/C III (Bugiri)","Bugiri","Bugiri Hub"
"Uganda Reproductive Health Bureau(Bugiri)","Bugiri","Bugiri Hub"
"Fast Line Medical Centre","Bugiri","Bugiri Hub"
"Naluwerere H/C III","Bugiri","Bugiri Hub"
"Bugiri Town Council H/C II","Bugiri","Bugiri Hub"
"Wakawaka H/C II","Bugiri","Bugiri Hub"
"Busesa H/C IV","Bugweri","Iganga Hub"
"Bihanga H/C III (Buhweju)","Buhweju","Bushenyi Hub"
"Karungu H/C III (Buhweju)","Buhweju","Bushenyi Hub"
"Nsiika H/C IV","Buhweju","Bushenyi Hub"
"Burere H/C III","Buhweju","Bushenyi Hub"
"Butare H/C III (Buhweju)","Buhweju","Bushenyi Hub"
"Tumu Hospital","Buhweju","Bushenyi Hub"
"Engaju H/CII","Buhweju","Bushenyi Hub"
"Kikamba H/C II","Buhweju","Bushenyi Hub"
"Buikwe Hospital (St Charlse Lwanga)","Buikwe","Kawolo Hub"
"Kawolo Hospital","Buikwe","Kawolo Hub"
"Makonge H/C III","Buikwe","Kawolo Hub"
"Nkokonjeru Hospital NGO (Buikwe)","Buikwe","Kawolo Hub"
"Nyenga Hospital","Buikwe","Kawolo Hub"
"Njeru T/C H/C III","Buikwe","Kawolo Hub"
"Wakisi H/C III","Buikwe","Kawolo Hub"
"Ngogwe H/C III","Buikwe","Kawolo Hub"
"Buwagajjo H/C III","Buikwe","Kawolo Hub"
"Busabaga H/C III","Buikwe","Kawolo Hub"
"Najjembe H/C III","Buikwe","Kawolo Hub"
"Metha Hospital","Buikwe","Kawolo Hub"
"St Francis Health Care Services(Njeru-Buikwe)","Buikwe","Kawolo Hub"
"Health Initiative for Africa- Uganda","Buikwe","Kawolo Hub"
"Bukaya H/C II","Buikwe","Kawolo Hub"
"Kingdom Life Medical Martenity H/C II","Buikwe","Kawolo Hub"
"Health Initiatives Association","Buikwe","Kawolo Hub"
"Kasubi H/C III","Buikwe","Kawolo Hub"
"St Benedict H/C II(Buikwe)","Buikwe","Kawolo Hub"
"Ssi H/C III","Buikwe","Kawolo Hub"
"Living Water H/C","Buikwe","Kawolo Hub"
"Buikwe H/C III","Buikwe","Kawolo Hub"
"Makindu H/C III","Buikwe","Kawolo Hub"
"Kabizzi H/C II","Buikwe","Kawolo Hub"
"Senyi H/C II","Buikwe","Kawolo Hub"
"Tongolo H/C II","Buikwe","Kawolo Hub"
"Lugazi Muslim H/C II","Buikwe","Kawolo Hub"
"Kavule H/C II","Buikwe","Kawolo Hub"
"Buziika H/C II","Buikwe","Kawolo Hub"
"Kikwayi H/C II","Buikwe","Kawolo Hub"
"Ddungi H/C II","Buikwe","Kawolo Hub"
"Naminya H/C II","Buikwe","Kawolo Hub"
"Nile Breweries H/C II","Buikwe","Kawolo Hub"
"Lugazi H/C II","Buikwe","Kawolo Hub"
"Kalagala H/C II (Buikwe)","Buikwe","Kawolo Hub"
"Namulesa H/C II","Buikwe","Kawolo Hub"
"Kisimbi Muslim H/C II","Buikwe","Kayunga Hub"
"Kisimba H/C II","Buikwe","Kawolo Hub"
"Christ The King Medical Centre","Buikwe","Kawolo Hub"
"Bugungu YP H/C III","Buikwe","Kawolo Hub"
"Nkokongeru H/C II Gov't (Buikwe)","Buikwe","Kawolo Hub"
"St. Charles Lwanga (Buikwe)","Buikwe","Jinja Hub"
"Bubiro H/C III","Buikwe","Kawolo Hub"
"Kachumbala H/C III","Bukedea","Atutur Hub"
"Malera H/C III","Bukedea","Atutur Hub"
"Kabarwa H/C III","Bukedea","Atutur Hub"
"Holy Innocents H/C III","Bukedea","Atutur Hub"
"Kidongole H/C III","Bukedea","Atutur Hub"
"Kolir H/C III","Bukedea","Atutur Hub"
"Bukedea H/C IV","Bukedea","Atutur Hub"
"Tajar H/C II","Bukedea","Atutur Hub"
"Kachumbala Mission Dispensary","Bukedea","Atutur Hub"
"St Martha Maternity Home- Bukedea","Bukedea","Atutur Hub"
"Butenga H/C IV","Bukomansimbi","Ssembabule Hub"
"Buyoga H/C III","Bukomansimbi","Ssembabule Hub"
"Makukuulu H/C III","Bukomansimbi","Ssembabule Hub"
"Kitaasa H/C III","Bukomansimbi","Ssembabule Hub"
"Bigasa H/C III","Bukomansimbi","Ssembabule Hub"
"Mirambi H/C III","Bukomansimbi","Ssembabule Hub"
"Kitanda H/C III","Bukomansimbi","Ssembabule Hub"
"Kabigi H/C III","Bukomansimbi","Ssembabule Hub"
"Luyitaayita H/C III (NGO)","Bukomansimbi","Ssembabule Hub"
"Medical Centre III","Bukomansimbi","Self Pick"
"Kawoko Muslim H/C III","Bukomansimbi","Ssembabule Hub"
"Kisojjo H/C II (Bukomansimbi)","Bukomansimbi","Ssembabule Hub"
"St Marys MNH Bukomansimbi","Bukomansimbi","Ssembabule Hub"
"Kagoggo H/C III","Bukomansimbi","Ssembabule Hub"
"Kigangazi H/C II","Bukomansimbi","Ssembabule Hub"
"Kabigi Muslim H/C II","Bukomansimbi","Ssembabule Hub"
"Kapkoloswo H/C III 	","Bukwo","Kapchorwa Hub"
"Bukwo H/C IV","Bukwo","Kapchorwa Hub"
"Chesower H/C III","Bukwo","Kapchorwa Hub"
"Kortek H/C III","Bukwo","Kapchorwa Hub"
"Bukwo General Hospital","Bukwo","Kapchorwa Hub"
"Mutushet H/C II","Bukwo","Kapchorwa Hub"
"Kapkoros H/C II","Bukwo","Kapchorwa Hub"
"Muyembe H/C IV","Bulambuli","Kapchorwa Hub"
"Buginyanya H/C III (Bulambuli)","Bulambuli","Kapchorwa Hub"
"Bunambutye H/C III","Bulambuli","Kapchorwa Hub"
"Bumugusha H/C III (Bulambuli)","Bulambuli","Kapchorwa Hub"
"Bumwambu H/C III","Bulambuli","Kapchorwa Hub"
"Gamatimbei H/C III","Bulambuli","Kapchorwa Hub"
"Buluganya H/C III","Bulambuli","Kapchorwa Hub"
"Buyaga H/C III(Bulambuli)","Bulambuli","Kapchorwa Hub"
"Bukhalu H/C III","Bulambuli","Kapchorwa Hub"
"Masira H/C III","Bulambuli","Kapchorwa Hub"
"Bumasobo H/C III","Bulambuli","Kapchorwa Hub"
"Bulegeni H/C III","Bulambuli","Kapchorwa Hub"
"Buliisa H/C IV","Buliisa","Buliisa Hub"
"Biiso H/C III","Buliisa","Buliisa Hub"
"Butiaba H/C II","Buliisa","Buliisa Hub"
"Avogera H/C II","Buliisa","Buliisa Hub"
"Kigwera H/C III","Buliisa","Buliisa Hub"
"Bugoigo H/C II","Buliisa","Buliisa Hub"
"Marine Military H/C II (Butiaba)","Buliisa","Buliisa Hub"
"Paraa H/C II","Buliisa","Buliisa Hub"
"Buliisa General Hospital","Buliisa","Buliisa Hub"
"Kihungya II","Buliisa","Buliisa Hub"
"Kakuka H/C III","Bundibugyo","Bundibugyo Hub"
"Kanyamwirima H/C III","Bundibugyo","Bundibugyo Hub"
"Kisubba H/C III","Bundibugyo","Bundibugyo Hub"
"Butama H/C III","Bundibugyo","Bundibugyo Hub"
"Bundibugyo Hospital","Bundibugyo","Bundibugyo Hub"
"Nyahuka H/C IV","Bundibugyo","Bundibugyo Hub"
"Ntandi H/C III","Bundibugyo","Bundibugyo Hub"
"Kikyo H/C IV","Bundibugyo","Bundibugyo Hub"
"Bukangama H/C III","Bundibugyo","Bundibugyo Hub"
"Ebenezer SDA Medical H/C III","Bundibugyo","Bundibugyo Hub"
"Busaru H/C IV","Bundibugyo","Bundibugyo Hub"
"Bubukwanga H/C III","Bundibugyo","Bundibugyo Hub"
"Out Reach Bundibugyo","Bundibugyo","Bundibugyo Hub"
"Bumadu C.O.U","Bundibugyo","Bundibugyo Hub"
"Bundingoma H/C II","Bundibugyo","Bundibugyo Hub"
"Burondo H/C III","Bundibugyo","Bundibugyo Hub"
"Rwimi H/C III","Bunyangabu","FortPortal Hub"
"Kahondo H/C II","Bunyangabu","Kabale Hub"
"Kibiito H/C IV","Bunyangabu","FortPortal Hub"
"Kakinga H/C III","Bunyangabu","FortPortal Hub"
"Kasunganyanja H/C III","Bunyangabu","FortPortal Hub"
"Mitandi H/C III (NGO)","Bunyangabu","FortPortal Hub"
"Rambia H/C III","Bunyangabu","FortPortal Hub"
"Kisomoro H/C III","Bunyangabu","FortPortal Hub"
"Kiyombya H/C III","Bunyangabu","FortPortal Hub"
"Yerya H/C III","Bunyangabu","FortPortal Hub"
"Kabonero H/C III","Bunyangabu","FortPortal Hub"
"Rwagimba H/C III","Bunyangabu","FortPortal Hub"
"Rubona H/C II","Bunyangabu","FortPortal Hub"
"Rwimi Prisons H/C III","Bunyangabu","FortPortal Hub"
"Kibate H/C III","Bunyangabu","FortPortal Hub"
"Kabahango H/C III","Bunyangabu","FortPortal Hub"
"Bushenyi H/C IV","Bushenyi","Bushenyi Hub"
"Bushenyi Medical Centre H/C III","Bushenyi","Bushenyi Hub"
"Kyabugimbi H/C IV","Bushenyi","Bushenyi Hub"
"Kyeizooba H/C III","Bushenyi","Bushenyi Hub"
"KIU Teaching Hospital","Bushenyi","Bushenyi Hub"
"Bitooma H/C III","Bushenyi","Bushenyi Hub"
"Nyabubare H/C III","Bushenyi","Bushenyi Hub"
"Kyamuhunga H/C III","Bushenyi","Bushenyi Hub"
"Kakanju H/C III","Bushenyi","Bushenyi Hub"
"Comboni Hospital","Bushenyi","Bushenyi Hub"
"Ankole Estate Clinic","Bushenyi","Bushenyi Hub"
"Ishaka Adventist Hospital","Bushenyi","Bushenyi Hub"
"Ruhumuro H/C III","Bushenyi","Bushenyi Hub"
"Ryeishe H/C III","Bushenyi","Bushenyi Hub"
"Kyedooba H/C IV","Bushenyi","Bushenyi Hub"
"SWAZI H/C III","Bushenyi","Bushenyi Hub"
"Kabushaho H/C III","Bushenyi","Bushenyi Hub"
"Nyamigote H/C II","Bushenyi","Bushenyi Hub"
"Nyarugote HC II","Bushenyi","Bushenyi Hub"
"Buyanja H/C II","Bushenyi","Bushenyi Hub"
"Bushenyi Uganda Prisons H/C III","Bushenyi","Bushenyi Hub"
"Busia H/C IV","Busia","Masafu Hub"
"Buteba H/C III","Busia","Masafu Hub"
"Dabani Hospital","Busia","Masafu Hub"
"Mbehenyi H/C III","Busia","Masafu Hub"
"Focrev H/C III","Busia","Masafu Hub"
"Masafu Hospital","Busia","Masafu Hub"
"Buhehe H/C III","Busia","Masafu Hub"
"Lunyo H/C III","Busia","Masafu Hub"
"Bulumbi H/C III","Busia","Masafu Hub"
"Busitema H/C III","Busia","Masafu Hub"
"Lumino H/C III","Busia","Masafu Hub"
"Nabulola CMC H/C III","Busia","Masafu Hub"
"Buwembe H/C III","Busia","Masafu Hub"
"Crane Survey Busia","Busia","Masafu Hub"
"Busolwe Hospital","Butaleja","Busolwe Hub"
"Busabi H/C III","Butaleja","Busolwe Hub"
"Butaleja H/C III","Butaleja","Busolwe Hub"
"Nakwasi H/C III","Butaleja","Busolwe Hub"
"Busaba H/C III","Butaleja","Busolwe Hub"
"Bubalya H/C III","Butaleja","Busolwe Hub"
"Budumba H/C III","Butaleja","Busolwe Hub"
"Kachonga H/C III","Butaleja","Busolwe Hub"
"Bugalo H/C III","Butaleja","Busolwe Hub"
"Kabasa Memorial Hospital","Butaleja","Busolwe Hub"
"Nabiganda H/C IV","Butaleja","Busolwe Hub"
"Kangalaba H/C III","Butaleja","Busolwe Hub"
"Mulagi H/C III","Butaleja","Busolwe Hub"
"Naweyo H/C III","Butaleja","Busolwe Hub"
"Gombe Hospital","Butambala","Gombe Hub"
"Kitimba H/C III","Butambala","Gombe Hub"
"Ngando H/C III","Butambala","Gombe Hub"
"Kyabadaaza H/C III","Butambala","Gombe Hub"
"Bugobango H/C","Butambala","Gombe Hub"
"Kiddawalime","Butambala","Gombe Hub"
"Our Lady Of Maria Assumpta","Butambala","Gombe Hub"
"Epi Centre H/C IV (Butambala)","Butambala","Gombe Hub"
"Kibibi Nursing Home H/C III","Butambala","Gombe Hub"
"Bulo H/C III","Butambala","Gombe Hub"
"Kalamba H/C II","Butambala","Gombe Hub"
"Kiziiko H/C II","Butambala","Gombe Hub"
"Kibugga H/C II","Butambala","Gombe Hub"
"Butebo H/C IV","Butebo","Pallisa Hub"
"Kakoro H/C III","Butebo","Pallisa Hub"
"Kabwangasi H/C III","Butebo","Pallisa Hub"
"Kanuyumu H/C II","Butebo","Pallisa Hub"
"Buvuma H/C IV","Buvuma","Buvuma Hub"
"Bugaya H/C III (Buvuma)","Buvuma","Buvuma Hub"
"Busamuzi H/C III","Buvuma","Buvuma Hub"
"Bweema H/C III","Buvuma","Buvuma Hub"
"Buwooya H/C III","Buvuma","Buvuma Hub"
"Lubya H/C II","Buvuma","Buvuma Hub"
"Lwajje H/C III","Buvuma","Mukono Hub"
"Nkata H/C II","Buvuma","Buvuma Hub"
"Namatale H/C II","Buvuma","Buvuma Hub"
"Namiti H/C II","Buvuma","Buvuma Hub"
"Lukale H/C III","Buvuma","Buvuma Hub"
"Kidera H/C IV","Buyende","Kidera Hub"
"Nkondo H/C III","Buyende","Kidera Hub"
"Buyende H/C III","Buyende","Kidera Hub"
"Irundu H/C III","Buyende","Kidera Hub"
"Wesunire H/C III","Buyende","Kidera Hub"
"St Matia Mulumba H/C III (Buyende)","Buyende","Kidera Hub"
"Bugaya H/C III (Buyende)","Buyende","Kidera Hub"
"Bukungu H/C II","Buyende","Kidera Hub"
"Ngandho H/C II","Buyende","Kidera Hub"
"Wandago H/C II","Buyende","Kidera Hub"
"Kagulu H/C II","Buyende","Kidera Hub"
"Kakooge H/C II (Kidera)","Buyende","Kidera Hub"
"Facility Left Blank","District Left Blank","Facility Left Blank"
"Adok H/C II","Dokolo","Dokolo Hub"
"Agwata H/C III","Dokolo","Dokolo Hub"
"Bata H/C III","Dokolo","Dokolo Hub"
"Dokolo H/C IV","Dokolo","Dokolo Hub"
"Kangai H/C III","Dokolo","Dokolo Hub"
"Kwera H/C III","Dokolo","Dokolo Hub"
"Awelo H/C III","Dokolo","Dokolo Hub"
"Maddu H/C IV","Gomba","Maddu Hub"
"Mpenja H/C III","Gomba","Maddu Hub"
"Kanoni H/C III (Gomba)","Gomba","Maddu Hub"
"Kifampa H/C III (Gomba)","Gomba","Maddu Hub"
"Kyaayi H/C III","Gomba","Maddu Hub"
"Kisozi H/C III","Gomba","Maddu Hub"
"Bukalagi H/C III","Gomba","Maddu Hub"
"Rapha Medical Centre(Gomba)","Gomba","Maddu Hub"
"Buyanja H/C II (Gomba)","Gomba","Maddu Hub"
"Ngomanene H/C III(Gomba)","Gomba","Maddu Hub"
"Ngeribalya H/C II","Gomba","Maddu Hub"
"Mawuki H/C II","Gomba","Maddu Hub"
"Mamba H/C II","Gomba","Maddu Hub"
"Bulwadda H/C II","Gomba","Maddu Hub"
"Kanziira H/C II","Gomba","Maddu Hub"
"Amuru H/C III","Gulu","Gulu Hub"
"Awach H/C IV (Gulu)","Gulu","Gulu Hub"
"Aywee H/C III","Gulu","Gulu Hub"
"Cwero H/C III","Gulu","Gulu Hub"
"Gulu Independent Hospital","Gulu","Gulu Hub"
"Gulu Military Hospital (4th Division)","Gulu","Gulu Hub"
"Gulu Prison H/C III","Gulu","Gulu Hub"
"Gulu R R Hospital","Gulu","Gulu Hub"
"Labworomor H/C III","Gulu","Gulu Hub"
"Laroo H/C III","Gulu","Gulu Hub"
"Layibi Techo H/C III","Gulu","Gulu Hub"
"Pabwo H/C III (Gulu)","Gulu","Gulu Hub"
"Patiko H/C III","Gulu","Gulu Hub"
"TASO Gulu","Gulu","Gulu Hub"
"Bardege H/C III","Gulu","Gulu Hub"
"Lacor Hospital","Gulu","Gulu Hub"
"St Philips H/C II","Gulu","Gulu Hub"
"Omel H/C II","Gulu","Lalogi Hub"
"Palenga H/C II","Gulu","Lalogi Hub"
"Green H/C II","Gulu","Lalogi Hub"
"Te-Atoo H/C II","Gulu","Lalogi Hub"
"Mola Medical Centre","Gulu","Gulu Hub"
"Angaya H/C III","Gulu","Gulu Hub"
"Te-Got H/C II","Gulu","Lalogi Hub"
"Gulu Police H/C III","Gulu","Gulu Hub"
"Pawel Angany H/C II","Gulu","Gulu Hub"
"St Monica H/C II (Gulu)","Gulu","Gulu Hub"
"St Mauritz H/C II","Gulu","Gulu Hub"
"Karin H/C II","Gulu","Gulu Hub"
"Lugore Prisons H/C II","Gulu","Gulu Hub"
"Crane Survey Gulu","Gulu","Gulu Hub"
"4th Division Lugore Training School  H/C III","Gulu","Gulu Hub"
"Buraru H/C III","Hoima","Hoima Hub"
"Butema H/C III","Hoima","Hoima Hub"
"Hoima R R Hospital","Hoima","Hoima Hub"
"Kigorobya H/C IV","Hoima","Hoima Hub"
"Mparangasi H/C III","Hoima","Hoima Hub"
"Dwoli H/C III","Hoima","Hoima Hub"
"Kabale H/C III (Hoima)","Hoima","Hoima Hub"
"Buseruka H/C III","Hoima","Hoima Hub"
"Kaseeta H/C III","Hoima","Hoima Hub"
"Buhanika H/C III","Hoima","Hoima Hub"
"Bujalya H/C III","Hoima","Hoima Hub"
"Bujumbura H/C III","Hoima","Hoima Hub"
"Karongo H/C III","Hoima","Hoima Hub"
"Azur Christian H/C IV","Hoima","Hoima Hub"
"Kabalega Medical Centre","Hoima","Hoima Hub"
"Hoima Police H/C III","Hoima","Hoima Hub"
"Buhuka H/C III","Hoima","Hoima Hub"
"Tonya H/C II","Hoima","Hoima Hub"
"Kapapi H/C III","Hoima","Hoima Hub"
"UG Prisons Hoima H/C II","Hoima","Hoima Hub"
"Ibanda Hospital","Ibanda","Ruhoko Hub"
"Ishongororo H/C IV","Ibanda","Ruhoko Hub"
"Kikyenkye H/C III","Ibanda","Ruhoko Hub"
"Ruhoko H/C IV","Ibanda","Ruhoko Hub"
"Rukiri H/C III","Ibanda","Ruhoko Hub"
"Bihanga Army H/C II","Ibanda","Ruhoko Hub"
"Bisheshe H/C III","Ibanda","Ruhoko Hub"
